   MJD       EECO-REF    NIST-REF NS   DATE    COMMENTS	
 49818.77       0.0        -1.625 g 11-APR-95  MK Effelsberg: maser-GPS
 49818.90       0.0        -1.636 g 11-APR-95  MK Effelsberg: maser-GPS
 49819.00       0.0        -1.595 g 12-APR-95  MK Effelsberg: maser-GPS
 49819.08       0.0        -1.823 g 12-APR-95  MK Effelsberg: maser-GPS
 49819.17       0.0        -1.630 g 12-APR-95  MK Effelsberg: maser-GPS
 49819.19       0.0        -1.732 g 12-APR-95  MK Effelsberg: maser-GPS
 49819.34       0.0        -1.550 g 12-APR-95  MK Effelsberg: maser-GPS
 49834.50       0.0        -0.048 g 27-APR-95  MK Effelsberg: maser-GPS
 49834.54       0.0        +0.049 g 27-APR-95  MK Effelsberg: maser-GPS
 49834.65       0.0        +0.005 g 27-APR-95  MK Effelsberg: maser-GPS
 49834.69       0.0        -0.068 g 27-APR-95  MK Effelsberg: maser-GPS
 49834.73       0.0        -0.033 g 27-APR-95  MK Effelsberg: maser-GPS
 49834.77       0.0        +0.005 g 27-APR-95  MK Effelsberg: maser-GPS
 49834.86       0.0        -0.053 g 27-APR-95  MK Effelsberg: maser-GPS
 49834.98       0.0        +0.125 g 27-APR-95  MK Effelsberg: maser-GPS
 49835.06       0.0        -0.059 g 28-APR-95  MK Effelsberg: maser-GPS
 49835.11       0.0        -0.082 g 28-APR-95  MK Effelsberg: maser-GPS
 49835.15       0.0        -0.067 g 28-APR-95  MK Effelsberg: maser-GPS
 49835.27       0.0        -0.002 g 28-APR-95  MK Effelsberg: maser-GPS
 49835.31       0.0        -0.128 g 28-APR-95  MK Effelsberg: maser-GPS
 49835.35       0.0        -0.123 g 28-APR-95  MK Effelsberg: maser-GPS
 49876.52       0.0        -2.947 g 08-JUN-95  MK Effelsberg: maser-GPS
 49876.56       0.0        -3.105 g 08-JUN-95  MK Effelsberg: maser-GPS
 49876.67       0.0        -3.056 g 08-JUN-95  MK Effelsberg: maser-GPS
 49876.87       0.0        -2.804 g 08-JUN-95  MK Effelsberg: maser-GPS
 49876.98       0.0        -3.041 g 08-JUN-95  MK Effelsberg: maser-GPS
 49877.02       0.0        -3.128 g 09-JUN-95  MK Effelsberg: maser-GPS
 49877.17       0.0        -3.167 g 09-JUN-95  MK Effelsberg: maser-GPS
 49877.23       0.0        -3.116 g 09-JUN-95  MK Effelsberg: maser-GPS 
 49909.29       0.0        -0.486 g 11-JUL-95  MK Effelsberg: maser-GPS
 49909.34       0.0        -0.401 g 11-JUL-95  MK Effelsberg: maser-GPS
 49909.38       0.0        -0.081 g 11-JUL-95  MK Effelsberg: maser-GPS
 49909.40       0.0        -0.141 g 11-JUL-95  MK Effelsberg: maser-GPS
 49909.44       0.0        -0.189 g 11-JUL-95  MK Effelsberg: maser-GPS
 49909.46       0.0        -0.136 g 11-JUL-95  MK Effelsberg: maser-GPS
 49909.48       0.0        -0.075 g 11-JUL-95  MK Effelsberg: maser-GPS
 49909.56       0.0        -0.479 g 12-JUL-95  MK Effelsberg: maser-GPS
 49909.58       0.0        -0.428 g 11-JUL-95  MK Effelsberg: maser-GPS
 49909.61       0.0        -0.431 g 11-JUL-95  MK Effelsberg: maser-GPS
 49909.63       0.0        -0.374 g 11-JUL-95  MK Effelsberg: maser-GPS
 49909.65       0.0        -0.342 g 11-JUL-95  MK Effelsberg: maser-GPS
