 45865  .002186  .027045  .113904
 45866  .002342  .027057  .113256
 45867  .002506  .027040  .112619
 45868  .002699  .026991  .111924
 45869  .002926  .026965  .111122
 45870  .003171  .026996  .110188
 45871  .003410  .027044  .109121
 45872  .003607  .027044  .107943
 45873  .003752  .026973  .106686
 45874  .003879  .026872  .105394
 45875  .004047  .026826  .104115
 45876  .004259  .026832  .102902
 45877  .004467  .026815  .101808
 45878  .004658  .026741  .100868
 45879  .004857  .026635  .100091
 45880  .005092  .026541  .099443
 45881  .005358  .026475  .098856
 45882  .005624  .026419  .098245
 45883  .005859  .026355  .097530
 45884  .006052  .026278  .096662
 45885  .006222  .026201  .095636
 45886  .006411  .026138  .094499
 45887  .006629  .026070  .093334
 45888  .006856  .025971  .092241
 45889  .007061  .025849  .091306
 45890  .007230  .025742  .090578
 45891  .007391  .025661  .090064
 45892  .007584  .025577  .089730
 45893  .007799  .025453  .089522
 45894  .007991  .025277  .089380
 45895  .008130  .025073  .089235
 45896  .008255  .024910  .089012
 45897  .008428  .024838  .088637
 45898  .008658  .024819  .088061
 45899  .008891  .024754  .087284
 45900  .009102  .024632  .086355
 45901  .009283  .024527  .085372
 45902  .009456  .024437  .084445
 45903  .009644  .024292  .083652
 45904  .009831  .024086  .082995
 45905  .009986  .023907  .082432
 45906  .010158  .023778  .081911
 45907  .010384  .023669  .081403
 45908  .010614  .023557  .080877
 45909  .010788  .023428  .080275
 45910  .010922  .023285  .079507
 45911  .011122  .023149  .078485
 45912  .011302  .023038  .077172
 45913  .011461  .022920  .075619
 45914  .011605  .022757  .073959
 45915  .011738  .022572  .072361
 45916  .011890  .022410  .070972
 45917  .012082  .022279  .069875
 45918  .012273  .022141  .069078
 45919  .012397  .021953  .068517
 45920  .012505  .021788  .068087
 45921  .012636  .021645  .067673
 45922  .012774  .021464  .067178
 45923  .012902  .021262  .066538
 45924  .013027  .021094  .065714
 45925  .013159  .020951  .064693
 45926  .013305  .020799  .063481
 45927  .013462  .020631  .062104
 45928  .013617  .020458  .060613
 45929  .013744  .020296  .059075
 45930  .013827  .020150  .057563
 45931  .013881  .020008  .056149
 45932  .013939  .019846  .054887
 45933  .014030  .019649  .053810
 45934  .014146  .019422  .052909
 45935  .014224  .019213  .052121
 45936  .014243  .019021  .051335
 45937  .014241  .018815  .050408
 45938  .014242  .018632  .049209
 45939  .014252  .018477  .047662
 45940  .014278  .018281  .045784
 45941  .014337  .018063  .043691
 45942  .014417  .017873  .041554
 45943  .014467  .017719  .039527
 45944  .014463  .017562  .037707
 45945  .014479  .017403  .036130
 45946  .014521  .017244  .034791
 45947  .014550  .017073  .033650
 45948  .014581  .016879  .032641
 45949  .014642  .016663  .031682
 45950  .014724  .016461  .030696
 45951  .014806  .016278  .029624
 45952  .014874  .016096  .028433
 45953  .014908  .015909  .027112
 45954  .014902  .015715  .025672
 45955  .014869  .015520  .024144
 45956  .014855  .015336  .022568
 45957  .014900  .015165  .020987
 45958  .014988  .014995  .019443
 45959  .015043  .014798  .017974
 45960  .015023  .014572  .016611
 45961  .015010  .014363  .015364
 45962  .015061  .014184  .014214
 45963  .015106  .013976  .013100
 45964  .015091  .013733  .011921
 45965  .015089  .013569  .010556
 45966  .015122  .013457  .008907
 45967  .015158  .013307  .006935
 45968  .015173  .013110  .004691
 45969  .015168  .012901  .002302
 45970  .015158  .012715 -.000066
 45971  .015159  .012543 -.002270
 45972  .015174  .012352 -.004225
 45973  .015181  .012139 -.005924
 45974  .015145  .011943 -.007421
 45975  .015060  .011788 -.008800
 45976  .014973  .011635 -.010148
 45977  .014922  .011451 -.011540
 45978  .014888  .011258 -.013029
 45979  .014834  .011079 -.014643
 45980  .014753  .010894 -.016383
 45981  .014688  .010726 -.018228
 45982  .014660  .010596 -.020142
 45983  .014597  .010425 -.022091
 45984  .014437  .010141 -.024033
 45985  .014285  .009872 -.025917
 45986  .014215  .009731 -.027684
 45987  .014133  .009610 -.029285
 45988  .013992  .009421 -.030708
 45989  .013900  .009222 -.031985
 45990  .013928  .009090 -.033195
 45991  .013951  .008975 -.034444
 45992  .013873  .008833 -.035857
 45993  .013734  .008682 -.037544
 45994  .013619  .008535 -.039573
 45995  .013560  .008380 -.041925
 45996  .013521  .008210 -.044497
 45997  .013448  .008038 -.047120
 45998  .013337  .007882 -.049618
 45999  .013227  .007753 -.051864
 46000  .013147  .007642 -.053811
 46001  .013073  .007512 -.055483
 46002  .012955  .007329 -.056962
 46003  .012786  .007103 -.058346
 46004  .012635  .006912 -.059735
 46005  .012559  .006817 -.061203
 46006  .012486  .006729 -.062795
 46007  .012368  .006582 -.064522
 46008  .012230  .006386 -.066368
 46009  .012126  .006201 -.068302
 46010  .012070  .006078 -.070283
 46011  .012018  .005977 -.072256
 46012  .011912  .005833 -.074153
 46013  .011746  .005648 -.075903
 46014  .011562  .005476 -.077455
 46015  .011405  .005359 -.078795
 46016  .011281  .005270 -.079967
 46017  .011167  .005151 -.081054
 46018  .011047  .004989 -.082162
 46019  .010931  .004852 -.083395
 46020  .010831  .004793 -.084846
 46021  .010736  .004753 -.086579
 46022  .010616  .004675 -.088611
 46023  .010464  .004547 -.090893
 46024  .010306  .004406 -.093307
 46025  .010201  .004311 -.095701
 46026  .010116  .004246 -.097931
 46027  .009968  .004159 -.099908
 46028  .009751  .004043 -.101614
 46029  .009526  .003923 -.103100
 46030  .009345  .003822 -.104453
 46031  .009202  .003730 -.105762
 46032  .009048  .003618 -.107101
 46033  .008848  .003474 -.108522
 46034  .008625  .003332 -.110059
 46035  .008418  .003226 -.111723
 46036  .008246  .003144 -.113501
 46037  .008095  .003035 -.115353
 46038  .007940  .002868 -.117224
 46039  .007771  .002678 -.119052
 46040  .007593  .002563 -.120777
 46041  .007417  .002521 -.122356
 46042  .007241  .002472 -.123767
 46043  .007054  .002378 -.125029
 46044  .006840  .002254 -.126196
 46045  .006598  .002139 -.127346
 46046  .006350  .002061 -.128561
 46047  .006123  .002021 -.129914
 46048  .005921  .001993 -.131454
 46049  .005710  .001938 -.133195
 46050  .005466  .001844 -.135108
 46051  .005231  .001747 -.137110
 46052  .005001  .001670 -.139084
 46053  .004745  .001606 -.140903
 46054  .004452  .001539 -.142477
 46055  .004152  .001471 -.143778
 46056  .003866  .001423 -.144844
 46057  .003628  .001376 -.145765
 46058  .003469  .001278 -.146650
 46059  .003344  .001162 -.147601
 46060  .003176  .001103 -.148692
 46061  .002945  .001106 -.149967
 46062  .002688  .001128 -.151437
 46063  .002457  .001125 -.153086
 46064  .002277  .001096 -.154873
 46065  .002142  .001065 -.156742
 46069  .001506  .001131 -.163759
 46070  .001338  .001153 -.165203
 46071  .001169  .001175 -.166538
 46072  .000953  .001208 -.167829
 46073  .000710  .001239 -.169169
 46074  .000493  .001251 -.170652
 46075  .000328  .001260 -.172354
 46076  .000162  .001322 -.174299
 46077 -.000063  .001465 -.176456
 46078 -.000311  .001603 -.178734
 46079 -.000490  .001609 -.181010
 46080 -.000576  .001477 -.183158
 46081 -.000675  .001374 -.185076
 46082 -.000822  .001429 -.186719
 46083 -.000983  .001628 -.188105
 46084 -.001129  .001838 -.189305
 46085 -.001300  .001932 -.190426
 46086 -.001472  .001928 -.191563
 46087 -.001596  .001950 -.192786
 46088 -.001709  .002069 -.194119
 46089 -.001929  .002220 -.195554
 46090 -.002207  .002262 -.197072
 46091 -.002396  .002263 -.198654
 46092 -.002517  .002357 -.200271
 46093 -.002669  .002508 -.201872
 46094 -.002882  .002590 -.203403
 46095 -.003096  .002551 -.204811
 46096 -.003259  .002531 -.206054
 46097 -.003355  .002615 -.207117
 46098 -.003414  .002753 -.208018
 46099 -.003490  .002873 -.208822
 46100 -.003616  .002962 -.209633
 46101 -.003769  .003034 -.210571
 46102 -.003898  .003101 -.211735
 46103 -.003985  .003177 -.213177
 46104 -.004055  .003266 -.214879
 46105 -.004142  .003368 -.216759
